section_num,section_name,feature,surfaces,tier,notes,
1,Auth account legal,Login logout session,(auth)/login; auth/callback; api/auth/me,Free,,
1,Auth account legal,Signup register,(auth)/signup; api/auth/register,Free,onboarding may lead to paid,
1,Auth account legal,Forgot reset password,(auth)/forgot-password; reset-password,Free,,
1,Auth account legal,Privacy terms,(auth)/privacy; terms,Free,,
1,Auth account legal,Account suspended,(app)/suspended,Free,state page,
2,Onboarding org provisioning,Dealer onboarding wizard,(onboarding)/onboarding; api/onboarding; api/onboarding/step,Split,free shell, Gmail/Twilio/voice steps Paid
2,Onboarding org provisioning,Org members,api/org/members; settings org,Free,data,
3,Today command center,Unified queue new leads tasks waiting appts voice vehicle match,(app)/today; TodayContent; api/today/*,Split,base queue Free, AI-ranked intent command center Paid
3,Today command center,At-risk stale leads,api/today/at-risk; Today UI,Split,rule-based Free, AI brief gating Paid
3,Today command center,Bulk last-ditch actions,api/today/bulk-action; last-ditch; action,Free,writes, volume limits Paid
3,Today command center,Dealer brief command center,api/intelligence/briefing; command-center; DealerBrief,Paid,LLM cached aggregates,
3,Today command center,Gmail sync button UX,Today SyncGmailButton,Paid,Gmail API poll infra,
4,Customers pipeline,Customer list search detail,(app)/customers; [id]; new; api/customers/*; search,Free,CRUD,
4,Customers pipeline,Customer edit,customers/[id]/edit,Free,,
4,Customers pipeline,Merge customers,api/customers/[id]/merge,Free,,
4,Customers pipeline,Lead state pipeline stage,api/customers/[id]/state; pipeline-stages; (app)/pipeline,Free,,
4,Customers pipeline,Deal checklist,api/customers/[id]/deal-checklist,Free,,
4,Customers pipeline,Customer documents,api/customers/[id]/documents,Paid,storage bandwidth,
4,Customers pipeline,Manual intent tier override,api/customers/[id]/intent,Free,if present,
4,Customers pipeline,AI conversation intent scoring,Ingest Twilio Gmail hooks scoring,Paid,LLM,
4,Customers pipeline,Review request SMS email,api/customers/review-request,Paid,Twilio email,
4,Customers pipeline,Segments bulk enroll,(app)/customers/segments; api/customers/segment; bulk-enroll,Split,UI small segments Free, bulk messaging Paid
5,Leads inbound capture,Web lead form dealer,(app)/leads/web; api/leads/web; web/[id]; count,Split,low volume Free, scale hosting Paid
5,Leads inbound capture,Lead ingest marketplaces email,api/leads/ingest; paste; import,Split,manual paste import Free, automated Paid
5,Leads inbound capture,Lead poll sync,api/leads/poll; sync,Paid,Gmail poller infra,
5,Leads inbound capture,Business card scan to lead,api/contacts/scan; api/leads/scan; create-from-scan,Paid,vision LLM if used,
5,Leads inbound capture,Lead import template,api/leads/import/template,Free,,
6,Activities tasks calendar,Activities CRUD,api/activities; [id]; reconcile,Free,,
6,Activities tasks calendar,Tasks,api/tasks; tasks/[id]; count,Free,,
6,Activities tasks calendar,Calendar UI,(app)/calendar,Free,,
6,Activities tasks calendar,Manual calendar events,api/calendar/manual; calendar/events,Free,,
6,Activities tasks calendar,Google Calendar connect,api/google/calendar-*,Paid,Google quota tokens,
6,Activities tasks calendar,Appointment confirm flows,api/appointments/confirm,Split,email SMS variable cost,
7,Sequences automation,Sequence builder steps,(app)/settings/sequences; api/sequences; steps,Split,design Free sending Paid,
7,Sequences automation,Sequence cron send,api/cron/send-sequences,Paid,,
7,Sequences automation,Customer sequence enroll patch,api/customer-sequences,Paid,when messages send,
7,Sequences automation,Auto-respond automation settings,(app)/settings/automation related APIs,Split,,
8,SMS voice telephony,Twilio inbound,api/twilio/inbound; status,Paid,,
8,SMS voice telephony,Outbound SMS,api/sms/send,Paid,,
8,SMS voice telephony,Voice AI Vapi Retell,api/voice/*; voice webhooks,Paid,,
8,SMS voice telephony,SMS add-on quota Stripe,api/stripe/sms-addon,Paid,,
9,Email Gmail,Send one-off email,api/email/send,Paid,SMTP Gmail deliverability,
9,Email Gmail,Gmail OAuth watch webhook,api/integrations/gmail; gmail/watch; gmail/webhook,Paid,,
9,Email Gmail,Generic email integration,api/integrations/email,Paid,,
10,Vehicles inventory,Inventory list filters,(app)/vehicles filters,Free,,
10,Vehicles inventory,Vehicle detail edit new,(app)/vehicles/[id]; edit; new,Free,,
10,Vehicles inventory,Vehicle CRUD API,api/vehicles; [id]; status; merge,Free,,
10,Vehicles inventory,Photos upload reorder,api/vehicles/[id]/photos,Paid,storage,
10,Vehicles inventory,Documents,api/vehicles/[id]/documents,Paid,,
10,Vehicles inventory,Publish VDP,publish; post; view; public [slug]/inventory,Split,minimal Free, traffic images Paid at scale
10,Vehicles inventory,VIN decode intake,vehicles/intake/*,Split,external vendors often Paid,
10,Vehicles inventory,AI listing description,api/vehicles/[id]/ai-description,Paid,Anthropic,
10,Vehicles inventory,Reanalyze market check,reanalyze market-check,Paid,external compute,
10,Vehicles inventory,Video render queue,video; render; webhooks/render-complete; cron/process-render-queue,Paid,,
10,Vehicles inventory,Video packs Stripe,api/stripe/video-pack,Paid,,
10,Vehicles inventory,Inventory sync cron,cron/sync-inventory; api/inventory/sync,Paid,,
10,Vehicles inventory,Feeds CarGurus Facebook,api/inventory/*-feed,Split,generation cheap partner policy product,
10,Vehicles inventory,Vehicle wants,api/vehicle-wants,Free,,
10,Vehicles inventory,Carrying costs mechanic notes overview reflow,api/vehicles/[id]/*,Free,,
10,Vehicles inventory,Mark sold BHPH finalize,api/bhph/create,Split,Free DB writes, Paid if SMS AI learning
11,BHPH payments,BHPH portfolio UI,(app)/bhph [id],Free,read,
11,BHPH payments,Deferred payments API,api/bhph/deferred,Free,,
11,BHPH payments,Payment reminders cron,api/bhph/remind,Paid,SMS email,
11,BHPH payments,BHPH Stripe webhook,api/bhph/webhook,Paid,,
11,BHPH payments,Customer pay link,app/pay/[token],Paid,Stripe,
12,Receipts ledger,Receipts ledger,(app)/receipts ledger api/receipts/*,Split,metadata Free uploads OCR export volume Paid,
12,Receipts ledger,Storage packs,api/stripe/storage-pack,Paid,,
13,Fax,Fax,(app)/fax api/fax/*,Paid,provider,
14,Pulse CSAT,Pulse surveys actions team,(app)/pulse; actions; team; api/pulse/*; pulse/[token],Split,collecting Free SMS delivery Paid,
15,Analytics dashboard reports,Dashboard analytics reports APIs,(app)/dashboard; analytics; reports; api/dashboard/stats; analytics; reports; reports/ai-brief,Split,internal dashboards Free AI brief Paid,
15,Analytics dashboard reports,Data export,api/export; ledger export,Split,small Free large Paid,
16,Retention referrals cards,Retention referrals cards cron,api/retention/*; settings retention; cron/card-batch; cron/retention-triggers,Paid,print mail cron,
17,Reviews Google,Reviews Google,settings reviews; api/reviews/*; cron/poll-reviews,Paid,Google API cron,
18,Social posting,Social posting,(app)/settings/social; api/social/*; cron/daily-social; settings/social-posting,Paid,Meta scheduling,
19,Media branding,Media website branding,api/media/upload; settings/website/*; favicon logo og,Split,small assets Free large packs Paid,
20,Intelligence AI ops,Intelligence AI cron scoring,api/intelligence/*; cron/daily-intelligence; conversation scoring,Paid,,
20,Intelligence AI ops,Dealer goals,api/intelligence/goals,Split,stored targets Free AI coaching Paid,
21,Booking public,Booking public,app/book/[slug]; api/book/[slug],Split,low volume Free notifications variable Paid,
22,Transfers affiliates growth,Transfers affiliates,app/transfer/[token]; api/transfer/*; admin affiliates,Split,Free mechanics incentives business rule,
23,Support,Support,(app)/support; api/support/*,Split,ticketing UX Free attachments storage Paid,
24,Settings dealer,Settings dealer pages APIs,(app)/settings/* api/settings/*,Split,mostly Free billing webhooks video social telegram Paid,
24,Settings dealer,Stripe portal checkout webhooks,api/stripe/*,Paid,billing product,
24,Settings dealer,Webhooks outbound,settings/webhooks,Split,Free code path outbound volume infra,
25,Admin platform,Admin platform internal,(app)/admin/*; api/admin/*,Platform,not dealer tier internal ops cost,
26,Cron jobs platform,All api/cron/* jobs,account-lifecycle card-batch check-tasks daily-intelligence daily-social data-retention inventory-pricing poll-reviews render-queue billing-reset retention-triggers send-sequences sync-inventory sync-leads weekly-performance,Paid,third-party heavy compute,
27,Marketing static,Marketing static site,app/page; blog/*; lp/*,Free,CDN forms inherit API tier,
